cluster_start,cluster_end,n_days
1932-05-30,1932-05-30,1
1937-04-24,1937-04-28,3
1937-08-22,1937-08-22,1
1938-01-17,1938-01-26,4
1938-04-16,1938-04-16,1
1938-05-11,1938-05-11,1
1939-04-17,1939-04-24,2
1939-10-13,1939-10-15,2
1940-03-24,1940-04-03,6
1940-04-25,1940-04-25,1
1940-06-25,1940-06-25,1
1941-03-01,1941-03-01,1
1941-07-05,1941-07-05,1
1941-08-04,1941-08-04,1
1941-09-18,1941-09-19,2
1942-03-01,1942-03-01,1
1943-08-31,1943-08-31,1
1944-04-02,1944-04-02,1
1944-12-16,1944-12-16,1
1946-02-07,1946-02-08,2
1946-03-24,1946-03-28,3
1946-04-23,1946-04-24,2
1946-07-26,1946-07-27,2
1946-09-22,1946-09-23,2
1947-03-03,1947-03-03,1
1947-04-17,1947-04-17,1
1947-07-17,1947-07-17,1
1947-08-22,1947-08-22,1
1948-03-15,1948-03-15,1
1948-10-17,1948-10-18,2
1949-01-25,1949-01-26,2
1949-05-12,1949-05-13,2
1949-10-15,1949-10-15,1
1950-02-20,1950-02-20,1
1950-08-19,1950-08-20,2
1951-06-17,1951-06-17,1
1951-09-25,1951-09-26,2
1951-10-28,1951-10-28,1
1952-03-06,1952-03-06,1
1952-04-21,1952-04-21,1
1952-05-27,1952-05-27,1
1952-06-30,1952-06-30,1
1956-02-25,1956-02-25,1
1956-04-27,1956-04-27,1
1956-05-16,1956-05-16,1
1956-09-02,1956-09-08,2
1957-01-21,1957-01-22,2
1957-03-02,1957-03-02,1
1957-06-30,1957-07-02,2
1957-09-03,1957-09-05,3
1957-09-13,1957-09-13,1
1957-09-22,1957-09-29,3
1958-02-11,1958-02-11,1
1958-05-31,1958-05-31,1
1958-06-29,1958-06-29,1
1958-07-08,1958-07-08,1
1958-09-04,1958-09-05,2
1959-03-26,1959-03-27,2
1959-05-12,1959-05-12,1
1959-07-15,1959-07-18,3
1959-08-16,1959-08-17,2
1959-11-28,1959-11-28,1
1960-03-31,1960-04-01,2
1960-04-30,1960-04-30,1
1960-05-08,1960-05-08,1
1960-07-15,1960-07-16,2
1960-09-04,1960-09-04,1
1960-10-06,1960-10-07,2
1960-11-12,1960-11-16,3
1960-12-01,1960-12-01,1
1961-07-13,1961-07-14,2
1961-07-27,1961-07-27,1
1961-09-30,1961-10-01,2
1961-10-28,1961-10-28,1
1963-09-22,1963-09-23,2
1963-10-29,1963-10-29,1
1966-09-03,1966-09-04,2
1967-02-16,1967-02-16,1
1967-05-25,1967-05-26,2
1967-06-06,1967-06-06,1
1968-06-11,1968-06-11,1
1968-10-31,1968-11-01,2
1969-02-02,1969-02-02,1
1969-03-23,1969-03-24,2
1969-09-30,1969-09-30,1
1970-03-08,1970-03-08,1
1970-04-21,1970-04-21,1
1970-08-17,1970-08-17,1
1970-12-14,1970-12-14,1
1972-06-18,1972-06-18,1
1972-08-04,1972-08-09,3
1972-09-14,1972-09-14,1
1972-11-01,1972-11-01,1
1973-04-01,1973-04-01,1
1974-07-06,1974-07-06,1
1974-09-16,1974-09-16,1
1976-03-26,1976-04-01,2
1976-05-03,1976-05-03,1
1978-04-30,1978-05-01,2
1978-07-04,1978-07-04,1
1978-08-28,1978-08-28,1
1978-09-29,1978-09-29,1
1979-04-03,1979-04-03,1
1979-04-25,1979-04-25,1
1981-04-13,1981-04-13,1
1981-07-25,1981-07-26,2
1981-10-14,1981-10-14,1
1982-03-01,1982-03-02,2
1982-07-13,1982-07-14,2
1982-09-06,1982-09-06,1
1982-09-22,1982-09-22,1
1983-01-10,1983-01-10,1
1983-02-05,1983-02-05,1
1983-05-24,1983-05-24,1
1984-11-16,1984-11-16,1
1985-04-21,1985-04-21,1
1986-02-08,1986-02-09,2
1986-09-12,1986-09-12,1
1988-04-03,1988-04-03,1
1989-03-13,1989-03-14,2
1989-09-19,1989-09-19,1
1989-10-20,1989-10-21,2
1989-11-17,1989-11-17,1
1990-03-30,1990-03-30,1
1990-04-10,1990-04-10,1
1990-06-12,1990-06-12,1
1991-03-24,1991-03-26,3
1991-06-05,1991-06-05,1
1991-07-08,1991-07-13,3
1991-10-28,1991-11-09,5
1992-02-26,1992-02-26,1
1992-05-10,1992-05-10,1
1992-08-23,1992-08-23,1
1994-04-17,1994-04-17,1
1995-04-07,1995-04-07,1
1998-05-04,1998-05-04,1
1998-08-27,1998-08-27,1
1998-09-25,1998-09-25,1
1999-09-22,1999-09-22,1
1999-10-22,1999-10-22,1
2000-04-06,2000-04-07,2
2000-05-24,2000-05-24,1
2000-07-15,2000-07-15,1
2000-09-17,2000-09-17,1
2001-03-31,2001-03-31,1
2001-04-11,2001-04-11,1
2001-11-06,2001-11-06,1
2001-11-24,2001-11-24,1
2002-05-23,2002-05-23,1
2003-05-29,2003-05-29,1
2003-10-29,2003-10-31,3
2003-11-20,2003-11-20,1
2004-07-25,2004-07-27,2
2004-11-07,2004-11-10,4
2005-01-21,2005-01-21,1
2005-05-08,2005-05-15,2
2005-08-24,2005-08-24,1
2006-12-15,2006-12-15,1
2012-03-09,2012-03-09,1
2015-06-22,2015-06-22,1
2017-09-08,2017-09-08,1
2023-03-24,2023-03-24,1
2023-04-23,2023-04-24,2
2024-03-24,2024-03-24,1
2024-05-10,2024-05-11,2
2024-08-12,2024-08-12,1
2024-10-10,2024-10-11,2
2025-01-01,2025-01-01,1
2025-11-12,2025-11-12,1
