year,0,1,2,3,4,5
1932,317,43,3,2,1,0
1933,328,29,7,1,0,0
1934,342,18,5,0,0,0
1935,333,22,10,0,0,0
1936,332,25,6,3,0,0
1937,308,34,13,6,4,0
1938,289,38,20,12,5,1
1939,289,39,20,13,4,0
1940,295,41,12,10,7,1
1941,282,52,20,6,2,3
1942,297,43,19,5,1,0
1943,266,70,22,6,1,0
1944,317,34,12,1,2,0
1945,325,21,16,3,0,0
1946,283,37,27,7,9,2
1947,278,40,30,13,4,0
1948,293,46,18,6,3,0
1949,288,39,22,11,5,0
1950,265,56,31,10,3,0
1951,224,80,40,17,4,0
1952,242,64,45,11,4,0
1953,280,57,23,5,0,0
1954,328,26,9,2,0,0
1955,322,26,13,4,0,0
1956,274,47,26,14,5,0
1957,277,45,18,13,11,1
1958,273,55,19,12,4,2
1959,254,62,29,11,8,1
1960,240,66,33,14,10,3
1961,292,37,22,8,6,0
1962,310,45,9,1,0,0
1963,306,38,11,7,3,0
1964,329,27,8,2,0,0
1965,347,14,2,2,0,0
1966,330,23,4,6,2,0
1967,315,31,10,5,2,2
1968,320,28,13,2,3,0
1969,326,22,8,5,4,0
1970,320,25,11,5,3,1
1971,312,33,18,2,0,0
1972,317,34,4,5,5,1
1973,271,62,20,11,1,0
1974,258,76,23,6,2,0
1975,299,47,17,2,0,0
1976,318,32,10,3,3,0
1977,316,36,9,4,0,0
1978,280,43,24,13,5,0
1979,298,48,10,7,2,0
1980,330,23,10,3,0,0
1981,297,34,22,8,4,0
1982,242,68,40,9,4,2
1983,260,64,31,7,3,0
1984,263,65,27,10,1,0
1985,302,37,20,5,1,0
1986,315,36,9,2,2,1
1987,329,28,7,1,0,0
1988,321,25,12,7,1,0
1989,262,59,31,7,4,2
1990,284,50,19,9,3,0
1991,252,51,35,15,12,0
1992,286,45,23,9,3,0
1993,279,57,23,6,0,0
1994,276,58,20,10,1,0
1995,300,47,16,1,1,0
1996,332,30,2,2,0,0
1997,335,16,10,4,0,0
1998,318,26,15,3,3,0
1999,312,40,8,3,2,0
2000,299,37,16,9,4,1
2001,315,26,10,10,4,0
2002,315,26,15,8,1,0
2003,245,83,27,5,3,2
2004,325,20,11,4,6,0
2005,310,29,11,11,4,0
2006,337,19,6,2,1,0
2007,346,19,0,0,0,0
2008,355,9,2,0,0,0
2009,362,3,0,0,0,0
2010,354,7,3,1,0,0
2011,339,19,4,3,0,0
2012,331,21,12,1,1,0
2013,342,18,3,2,0,0
2014,353,8,4,0,0,0
2015,309,37,13,5,1,0
2016,323,34,9,0,0,0
2017,328,28,6,2,1,0
2018,352,9,3,1,0,0
2019,353,11,1,0,0,0
2020,363,3,0,0,0,0
2021,348,13,2,2,0,0
2022,329,31,5,0,0,0
2023,324,29,7,2,3,0
2024,330,14,9,7,5,1
2025,303,41,13,6,2,0
