row_id,tier,domain,subdomain,n_branching,n_lo,n_hi,t_half_s,t_half_raw,kernel,kappa_sign,kappa_value,n_events,obs_window,mu_background,venue,authors,year,peer_reviewed,doi_or_url,notes
OWN-001,OWN,heliophysics,Solar G4+ geomagnetic storms (SC23-SC25),0.134,0.078,0.241,100224.0,1.16 d,Omori-Utsu power-law,+,+1.06 per Kp index,1156,1968-2025 (~57 yr),hierarchical per-cycle,GitHub: solar-flare-grid-coupling,Diatom Sky R&D,2026,self/defensive,https://github.com/KhaiB10/solar-flare-grid-coupling,v15 hierarchical Bayesian; SC25 forecast through 2030
OWN-002,OWN,tropical_cyclones,North Atlantic Cat-3+ hurricanes,0.006,0.002,0.012,1503359.9999999998,17.4 d,Omori-Utsu power-law,+,+0.17 per Saffir-Simpson cat,263,1851-2024 (~173 yr),see hurricane v3,GitHub: hurricane-hawkes-clustering (local),Diatom Sky R&D,2026,self/defensive,local repo,Saffir-Simpson cat mark; col-pick bug caught pre-publication
A-001,A,finance,E-mini S&P 500 futures mid-price (1998-2011),1.0,0.95,1.05,1000.0,~1000 s (crossover regime),"power-law (eps=0.15 short, 0.45 long)",NA,NA,~10^6 per 2-month window,1998-2011,spikes during crisis,Phys Rev E,"Hardiman, Bercot, Bouchaud",2014,yes,10.1103/PhysRevE.90.062807,Branching ratio fluctuates about n_c=1; markets near criticality
A-002,A,finance,Nikkei 225 mini tick data (Jan-Jun 2016),0.41,,,,NA (sum-of-exp kernel),sum of exponentials,NA,NA,"avg 2090/session, range 465-18505",Jan 4 - Jun 30 2016,time-dependent (Bayesian change-point),Phys Rev E,"Omi, Hirata, Aihara",2017,yes,10.1103/PhysRevE.96.012303,n=0.41 indicates relative importance of exogenous factors
A-003,A,finance,Bund Future EUREX (Jul 2013 - Nov 2014),,,,0.0003,~300 us reaction time,nonparametric multivariate (Wiener-Hopf),+,volume-dependent kernels,~150e6,Jul 2013-Nov 2014,varies by component,Quant Finance,"Rambaldi, Bacry, Lillo",2017,yes,10.1080/14697688.2016.1260759,576 kernels over 24-dim model; chars timescale ~300us
A-004,A,social,"Twitter retweets (TiDeH, popular tweets >2000RT)",,,,172800.0,tau_m = 2.02 +/- 0.66 d (synth),"power-law with cutoff: c0=6.49e-4/s, s0=300s, theta=0.242",NA,NA,"738 cascades, 166076 tweets",Oct 7 - Nov 7 2011,circadian time-dependent,ICWSM,"Kobayashi, Lambiotte",2016,yes,10.1609/icwsm.v10i1.14717,TiDeH; characteristic popularity decay ~2 days
A-005,A,crime,San Fernando Valley LA residential burglary (2004-05),0.2,,,598879.1640037928,omega^-1 = ~10 d,exponential (theta*omega*exp(-omega*t)),NA,NA,5376,2004-2005,mu=5.71/(km^2 day) sim baseline,JASA,"Mohler, Short, Brantingham, Schoenberg, Tita",2011,yes,10.1198/jasa.2011.ap09546,Sim params from Table 1; n derived from theta=0.20 (per-event offspring)
A-006,A,crime,US mass shootings (Brady catalog),0.9,,,,"NA (23% offspring in 14d, long tail)","nonparametric (histogram, 2wk/3mo/6mo/+1y bins)",+,k(m): 0.69(1)->1.44(5)->0.97(6-8)->0.59(9+),477,Feb 2005 - Jan 2013,0.007-0.016/d,PLOS ONE,"Boyd, Molyneux",2021,yes,10.1371/journal.pone.0248437,n=expected offspring per event; mark dependence non-monotonic
A-007,A,crime,"US mass shootings (Stanford MSA, >=Jan 1999)",0.72,,,,NA (60% offspring in 14d),nonparametric (histogram),+,k(m): 0.92(1)->1.38(5)->0.41(6-7)->0.13(7+),262,Jan 1999 - Jun 2016,0.007-0.016/d,PLOS ONE,"Boyd, Molyneux",2021,yes,10.1371/journal.pone.0248437,Multi-dataset analysis row 2/4
A-008,A,crime,US mass shootings (Gun Violence Archive),0.66,,,,NA (~90% offspring in 14d),nonparametric (histogram),+,k(m): 0.58(1)->0.87(5)->0.72(6-9)->0.13(10+),2669,Jan 2012-2021,0.33/d,PLOS ONE,"Boyd, Molyneux",2021,yes,10.1371/journal.pone.0248437,Multi-dataset analysis row 3/4; loosest definition
A-009,A,crime,"US mass shootings (Mother Jones, strict)",0.46,,,,NA (98% offspring AFTER 14d),nonparametric (histogram),+,k(m): 1.23(1)->0.19(7-10)->0.004(11-17)->0.29(18+),118,Jan 1999-present,0.007-0.016/d,PLOS ONE,"Boyd, Molyneux",2021,yes,10.1371/journal.pone.0248437,Multi-dataset analysis row 4/4; strictest definition (4+ killed)
A-010,A,epidemiology,"COVID-19 daily deaths (Browning et al, geometric kernel)",,,,216000.0,~2.5 d (beta=0.4) or ~1 d (beta=0.9),discrete-time geometric: beta*(1-beta)^(t-1),NA,NA,daily counts 10 countries,Dec 2019 - Feb 2021,import rate,PLOS ONE,"Browning, Sulem, Mengersen, Rivoirard, Rousseau",2021,yes,10.1371/journal.pone.0250015,Brazil/China/France/Germany/India/Italy/Spain/Sweden/UK/US; multi-phase
A-011,A,epidemiology,COVID-19 county-level US (Mohler/Chiang Hawkes-mobility),1.5,0.5,2.5,,"NA (Weibull alpha,beta)","Weibull (alpha shape, beta scale)",+,mobility covariates (Google index),"3217 counties, 2824 with >=10 cases",Feb 2020 - Mar 2021,imported infections mu_c,Int J Forecasting,"Chiang, Liu, Mohler",2022,yes,10.1016/j.ijforecast.2021.07.001,"Dynamic R(t)=exp(theta.x), R0=2.5 early -> 1 post stay-home"
A-012,A,seismology,ETAS synthetic anchor (Naylor: Apennines/Ridgecrest-like),,,,55043544.61406739,"c=0.11d, p=1.08","ETAS Omori (c=0.11, p=1.08, alpha=2.29, K=0.089)",+,alpha = 2.29 (magnitude productivity),varies 117-2530,1000-day synthetic,mu=0.1/d,Frontiers Appl Math Stat,"Naylor, Serafini, Lindgren, Main",2023,yes,10.3389/fams.2023.1126759,Synthetic but anchored to Apennines/Ridgecrest scale; method paper
A-013,A,seismology,"Chile A subduction (2001-2006, M>=4.0)",,,,4261364.53532443,"c=0.0327d, p=1.0947 (synth fit)",kernel-based nonparametric ETAS,+,magnitude productivity,1569,2001-2006,NA,Spatial Statistics,"Kwon, Zheng, Jun",2023,yes,10.1016/j.spasta.2023.100728,Kwon multi-catalog row 1/5
A-014,A,seismology,Chile B subduction (2010-2015 post-2010 M8.8),,,,,Omori (region-specific),kernel-based nonparametric ETAS,+,magnitude productivity,3110,Feb 2010 - Sep 2015,NA,Spatial Statistics,"Kwon, Zheng, Jun",2023,yes,10.1016/j.spasta.2023.100728,Kwon multi-catalog row 2/5; post-M8.8 Maule sequence
A-015,A,seismology,Chile C subduction (2015-2021 post-M8.3),,,,,Omori (region-specific),kernel-based nonparametric ETAS,+,magnitude productivity,2552,Sep 2015 - Sep 2021,NA,Spatial Statistics,"Kwon, Zheng, Jun",2023,yes,10.1016/j.spasta.2023.100728,Kwon multi-catalog row 3/5
A-016,A,seismology,Japan A region (2003-2008),,,,,Omori (region-specific),kernel-based nonparametric ETAS,+,magnitude productivity,1327,2003-2008,NA,Spatial Statistics,"Kwon, Zheng, Jun",2023,yes,10.1016/j.spasta.2023.100728,Kwon multi-catalog row 4/5
A-017,A,seismology,Japan B post-Tohoku M9.1 (2011-2017),,,,,Omori (region-specific),kernel-based nonparametric ETAS,+,magnitude productivity,7420,Mar 2011 - Mar 2017,NA,Spatial Statistics,"Kwon, Zheng, Jun",2023,yes,10.1016/j.spasta.2023.100728,Kwon multi-catalog row 5/5; post-Tohoku aftershock sequence
A-018,A,heliophysics,"Solar flares (GOES catalog, waiting times)",,,,,NA (qualitative),self-exciting (parametric Hawkes),+,burstiness above Poisson baseline,GOES catalog (~10^4),multi-cycle,solar-cycle modulated,Physica A,Ross,2020,yes,10.1016/j.physa.2020.124775,Rejects pure non-stationary Poisson; significant self-excitation
A-019,A,heliophysics,Solar flares (Rivera/Johnson clustering ~3h scale),,,,10800.0,~3 h characteristic recurrence,nonparametric clustering signature,+,memory above Bayesian-block surrogate,~10^4 GOES flares,SC23+SC24,rate-variable Bayesian blocks,ApJ Letters,"Rivera, Johnson, Homan, Wing",2022,yes,10.3847/2041-8213/ac8de9,Surrogate-based nonparametric test; ~3h recurrence excess
B-001,B,finance,China A-share stocks (108 firms),0.81,,,,NA,power-law (nonparametric),NA,NA,108 stocks,NA,NA,Eur J Finance,Zhuo et al.,2023,yes,10.1080/1351847X.2023.2251531,Mean internal branching ratio ~0.81; BIC selected power-law
B-002,B,social,Twitter URL cascades (Gleeson/Onaga 2020),0.9,,,,NA,branching process (Hawkes-related),NA,NA,Twitter URL cascades,NA,NA,J Complex Networks,"Gleeson, Onaga et al.",2021,yes,10.1093/comnet/cnab002,Effective branching number 0.90; branching/Hawkes hybrid
B-003,B,social,Twitter retweet popularity prediction (Mishra/Rizoiu),0.12,,,,NA,marked Hawkes power-law: phi_m(tau)=kappa*m^beta*(tau+c)^-(1+theta),+,kappa=0.75 example cascade,Twitter cascades,NA,NA,TKDE,"Mishra, Rizoiu, Xie",2018,yes,10.1109/TKDE.2018.2885271,Hybrid Hawkes+predictive overlay; n=0.12 small-tweet regime
